id,size,min_moves,total_states,articulation_points,avg_branching,score,manual_score
27af6d0ccd0b1a913da93674f4d48b1f377c44fae7925c6ce6791db66c6c39e0,36,144,1916834,24,5.774703495451353,3.67,
a805acca59c9a034bdb3dd0aae0caaabe1652980666a0a7fae59d6ae9485d600,24,95,108222,38,3.5238676054776294,4.24,
35d638fb24a0137ba382ea2a356654598850c15f2a2b1f800291b637906fb7a7,24,147,321414,43,3.916531327197944,4.09,
852a718bacaf998ffca9f47738c0fb1769f55c296866493db08f746a853cad21,20,119,81340,70,3.192033439881977,4.16,
d3059e8afeb205f823a4db400b0f3a6d322a584ae18d20f0e0acbbd0db104242,20,163,26528,92,3.057071773220748,3.85,
48c45655f4a61275008c12ab0fa91fa950c7ebb2b8192afeee7bfe691a933ef1,20,163,26528,92,3.057071773220748,3.85,
3be7ea13b3b109cf2c96326c4c48dbc79cb6c8bd7f53d0f1c139b96c506e14a3,16,10,1944,5,5.648148148148148,0.72,
fc3dbb0e0edc870fafc3e33208ebbdd492132a7b6225e0c192cd0d5ad734e8d6,20,165,30331,101,3.099271372523161,2.81,
38f5849fb1570cf66b2bfd5e4c0c1f0bf6089e4a936206028319a5e8a89a8e74,30,21,2500024,20,2.9430749464805137,2.45,
9836548b37494a46bc901b80b6b995a95c3fbe93d03a4f75a4d6d39950650232,30,23,17170,13,4.865463016889924,2.03,
acda1d60f08775ad111d94f344e21753a1cc6edc8b515a665a1eb3119fdd1604,42,366,147700,44,5.171550440081246,3.59,
f700d378ee39c33b75abf75ec1d2d10f4c6b995527fa553b8d8ab7dce8f98807,20,79,10376,45,3.456052428681573,4.31,
e1586d1aaacfb591fd332d4027d824618b15e6f90f5009a4756948fb12cca6b3,25,330,443193,98,4.385439300710977,3.71,
000ed8266a221da6462792222cb571b42fb182bd89d944369eba035c4c6b49da,30,173,2500003,85,3.675588389293933,3.78,
e6c524d43100936e8b16e8239d88abdd8ede747649bb2c61c1c0c3499941161a,18,62,29611,27,3.7157812974907976,4.37,
24a9300c9f69a885aa8f1725ffa2d6e2fe3ab02b069ed94feda72fe4ff1dd241,20,87,24508,40,3.3749795984984496,4.28,
5e6410c3a2ad5bdd6445302a2994b29fa223a1b74644d8228b09f4fb94b71226,24,112,17445,46,4.730753797649756,4.17,
9b2de04cbfe4c5b59b84aee555a43e012976c9ffe7930c2c32dc796187b6448d,24,226,99702,114,3.8375358568534232,2.83,
63d78be42937267f2f1b79290166f995821de00a66a1da264d0f95aba34a1f18,20,110,65486,43,4.327245518126012,4.31,
8cd526c0784b8e17a0b679ed0369169600fca4d6b85ea7bed62ff0ff51ef83dc,16,6,26,4,2.3846153846153846,0.62,
f961ed42805fcdac559df32f6cb768c91ca6a38dafd8df8059a35f21255f3132,20,65,3026,37,3.0,4.31,
f4b26d35c0f5f9479bd459d4445e5e185c317a375bf13a790776311dee22e132,24,313,382968,216,3.4338900378099475,2.8,
024f9b93d03364a9d2961bafb13f5a508201f532ff04aa7f374c3f2ca8904eff,20,142,80554,99,3.147304913474191,2.82,
a178deaa4d752c41fc29522d380d24097f96ab32603a73b6eeb0e51aa2cb8b35,24,127,87494,63,3.857178777973347,4.07,
e69de2385d476759166f2ec633f95c3f6f87638e85108276fbd726c0e3e3f971,20,84,33003,35,4.256643335454353,4.32,
8907b8de441dcb1e14f097f04aa5381f2e3831fd6de17bd7da6e8a493a85361f,25,101,23455,67,3.3654231507141334,4.13,
121ea90fdad164cd2fd2c2a7da86a48db746db8c1eeca5bce03b9293a4c39b08,24,92,30358,63,3.4018710059951247,4.21,
a73220ffff21ad5a423dd667f22d280b35ca5f30198b81c3fc23fd794588a5ae,24,106,124510,39,4.020689101277006,4.26,
7f03add13f01b37d45eb3ee991294c9a63be2eeeee323397bbfc2caca21ae8fd,25,74,83824,50,3.574918877648406,4.16,
84fde7d7c2fabafd7e4bafea7ce54f967608abbdea56ca44dc02bea9b0e88918,24,153,47045,71,3.5966840259326176,4.08,
c438345049f68af5d8c6e49167fcb0f39db58c3217e68bccffe0bc2ebf2fa2ad,24,118,172094,49,4.161655839250642,4.16,
24ed370e16a10585b5389b4989f8773a55fc0a964ddb5b0b8a12e4ffbf9a460e,16,6,252,2,3.1746031746031744,0.22,
edeb1f33f4083b51e2d28e0aadaa8474224d208ad906ec67b7c0c578412b9664,24,196,55276,147,3.1890513061726606,2.79,
6d6c123e0d9777e080bb58b85488374a045fdfc14693f7d05bceeb773c35dc18,24,318,22309,152,3.17136581648662,2.79,
9365b65c42324552368553977234b40f06693a10140c53ba3dff46b69bcd1a17,20,61,54927,29,4.501429169625139,4.34,
6b6adb293bc6185a67c8eea15ee4a42744edbce341bf8be7bbd51b40f0156cbf,16,2,116,1,3.827586206896552,0.17,
749d9990dcec395f09c7dc0bc96d284b9827ba40c6fa7c02eb7bbe2cc420e56c,20,90,91506,37,4.56533997770638,4.32,
9a059d46411fd691659e9545ec8d8289edb8b9eaf5ada8576f07d6796ef7d47b,24,126,163389,62,3.679182809124238,4.08,
04aed1fbf32d511248adc4340a23d57100d22c117a6cf216421219d266322abb,20,63,74114,12,4.427449604663087,4.38,
a74d9255c1d8619af950682d4fd6044eba43b5846be5b0a27b8511b04ee69222,20,129,3896,77,3.458418891170431,4.08,
61db486665c4c7bb96e13d43084ee94387a12c7af87ed75b6d73325c0ec4cffa,25,57,18876,1,6.675672812036448,3.72,
0f2e82d85661c6718c1b6659c4c28616e3fac4439270dfa51fdf8ccb0213db30,25,91,193716,16,3.933345722604225,4.17,
